iteration,popsize,leather,beef,experience,playerkills,envdeaths
0,3,0,0,4,0,0
1,4,0,0,6,0,0
2,6,0,0,10,0,0
3,9,0,0,24,0,0
4,13,0,0,41,0,0
5,19,0,0,61,0,0
6,28,0,0,105,0,0
7,42,0,0,154,0,0
8,63,0,0,224,0,0
9,94,0,0,350,0,0
10,141,0,0,533,0,0
11,211,0,0,856,0,0
12,316,0,0,1287,0,0
13,474,0,0,1974,0,0
14,711,0,0,2887,0,0
15,960,116,216,4313,0,106
16,960,571,1200,6143,0,480
17,960,1075,2133,8068,0,480
18,960,1572,3106,9949,0,480
19,960,2038,4068,11881,0,480
20,960,2532,5042,13825,0,480
21,960,3034,6003,15697,0,480
22,960,3515,6989,17569,0,480
23,960,4010,7970,19514,0,480
24,960,4491,8915,21384,0,480
25,960,4962,9877,23336,0,480
26,960,5479,10798,25281,0,480
27,960,5932,11750,27108,0,480
28,960,6439,12707,28988,0,480
29,960,6904,13717,30849,0,480
30,960,7362,14669,32800,0,480
31,960,7841,15664,34722,0,480
32,960,8319,16622,36660,0,480
33,960,8783,17596,38579,0,480
34,960,9243,18563,40516,0,480
35,960,9709,19536,42514,0,480
36,960,10207,20498,44422,0,480
37,960,10673,21473,46337,0,480
38,960,11130,22424,48223,0,480
39,960,11590,23379,50117,0,480
40,960,12080,24354,52034,0,480
41,960,12582,25329,53907,0,480
42,960,13074,26318,55877,0,480
43,960,13561,27255,57824,0,480
44,960,14028,28206,59791,0,480
45,960,14505,29143,61643,0,480
46,960,15000,30115,63598,0,480
47,960,15465,31083,65553,0,480
48,960,15956,32053,67469,0,480
49,960,16438,33030,69376,0,480
